,company,task,info
126,비티씨코리아닷컴(주),IT 빗썸거래소 (BackEnd 개발자),"

 BackEnd 신규 개발 및 유지보수

 PHP, Java 개발 경험
 RDBMS(Oracle, Mysql, etc) 사용 경험
 대용량 트랜젝션 처리 경험
 RESTful API 등 웹통신 개발 경험
 OWASP TOP(WEB)보안 취약점 이해 및 보안코딩 경험

 Git, Jira, Confluence 사용 경험
 php Framework (CI, Laravel 등) 개발 경험
 redis, node.js 개발 경험
 대용량 트래픽 무중단 서비스 경험 및 운영
 금융, 증권, 암호화폐 관련 개발 경험
 비즈니스 프로세스에 대한 이해도가 높은 자
 문제 해결을 적극적으로 시도하고 책임감이 강한 자

"
127,나눔정보기술(주),"[IT기술직] C#, WinForm, WebForm, WPF, ASP.NET, Silverlight, Oracle, MSSQL","

 C#, WinForm, WebForm, WPF, ASP.NET, Silverlight, Oracle, MSSQL

 C#, WinForm, WebForm, WPF, ASP.NET, Silverlight, Oracle, MSSQL 경력 4년 이상
 정규직 및 계약직



"
128,잡플래닛 매칭서비스,"상장사, SW개발 및 서비스기업  상장사IT기업, SW영업 경력자 모집","상장사, SW개발 및 서비스기업

 SW,솔루션영업
 공공영업,기업영업

 IT영업 경력 1년이상
 SW영업,솔루션영업 경력자
 공공영업,SI영업 경력자 우대



"
129,비티씨코리아닷컴(주),IT전산지원팀,"

 어플리케이션 아키텍처 수립 (application architecture design)

 프로젝트 관리 능력을 갖추신 분
 시스템 운영 / 관리 경험이 있으신 분
 원활한 의사 소통 능력과 책임감 있는 분

 정보처리기사 자격증 소지자 우대

"
130,한국비씨피솔루션즈(주),IT 솔루션영업 부문,"

 자사제품 솔루션 영업

 경력 3년 이상
 학력/성별/나이 제한없음



"
131,잡플래닛 매칭서비스,"코스닥상장기업, SW개발 및 서비스기업  상장사IT기업, 기술직군 경력자 모집","코스닥상장기업, SW개발 및 서비스기업

[QA]
 SQA 업무, SW테스팅

[SW개발PM]
 SI 개발 및 프로젝트 PM 및 PMO

[QA]
 품질보증 경험 및 개발 프로세스 지식 보유자
 TC 작성 및 개선, 프로젝트 이슈관리 경험 보유자
 SW인증업무 QA경험자 우대

[SW개발PM]
 SI 개발(Java) 및 프로젝트 관리자 경험 보유자
 블록체인, SSO,EAM,EOS 프로젝트 경험 우대
 모바일앱 경험자 우대



"
132,한국비씨피솔루션즈(주),IT 솔루션영업 부문,"

 자사제품 솔루션 영업

 경력 3년 이상
 학력/성별/나이 제한없음



"
133,(주)비티씨코리아서비스,IT 빗썸거래소 (BackEnd 개발자),"

 BackEnd 신규 개발 및 유지보수

 PHP, Java 개발 경험
 RDBMS(Oracle, Mysql, etc) 사용 경험
 대용량 트랜젝션 처리 경험
 RESTful API 등 웹통신 개발 경험
 OWASP TOP(WEB)보안 취약점 이해 및 보안코딩 경험

 Git, Jira, Confluence 사용 경험
 php Framework (CI, Laravel 등) 개발 경험
 redis, node.js 개발 경험
 대용량 트래픽 무중단 서비스 경험 및 운영
 금융, 증권, 암호화폐 관련 개발 경험
 비즈니스 프로세스에 대한 이해도가 높은 자
 문제 해결을 적극적으로 시도하고 책임감이 강한 자

"
134,신한금융투자(주),ICT  전략/기획,"

 ICT 전략 수립, 전략과제 기획 및 추진, 조직역량 강화, 전사 프로젝트 PMO

 IT 관련 기획 및 컨설팅 업무 수행 유경험자
 Cloud, 오픈소스, API 등을 포함한 IT 전반 기술 지식 보유
 IT 프로젝트 관리 유경험


 국내/외 4년제 대학교 이상 졸업자(석/박사 우대)
 관련 분야 경력 3년 이상 지원 가능
 당사 사규상 채용에 결격 사유가 없는 자

 경력 4년 이상


『장애인고용촉진 및 직업재활법』에 의한 장애인
『국가유공자 등 예우 및 지원에 관한 법률』에 의한 취업보호대상자

"
135,(주)현대아이티앤이,웹/모바일 개발 부문,"

1. 현대백화점그룹 계열사 온라인 쇼핑몰 및 업무시스템 운영/개발
2. 신규 비즈니스 개발 프로젝트 수행

1. 4년제 대학 학사학위 이상 소지자
2. 채용 즉시 근무 가능자
3. 관련 업무 및 시스템 有 경험자 (3년 이상)
4. 병역을 필(면제포함)하고, 해외여행 및 근무에 결격사유가 없는자

【기술요소)
1. 웹 서비스 개발 능숙자 (JAVA,JSP,Jquery, EJB, C언어, ASP.NET)
2. 모바일 (Android, IOS) 개발 경력자
3. Spring & IBatis 를 통한 DB 연계 개발 가능자
4. 전자정부프레임워크 개발 환경 경험자
5. Oracle, MSSQL 연계 개발 가능자

1. IT관련 자격증 보유자
2. 국가보훈대상자/장애인은 관련 법규에 의거 우대
3. ecommerce 관련 업무 有 경험자
4. ecommerce 프로젝트 설계/개발/운영 경력자

"
136,비티씨코리아닷컴(주),IT 빗썸거래소 (FrontEnd 개발자),"

 빗썸거래소 FrontEnd 개발

 유관경력 2년 이상
 React 라이브러리 능숙한 전문가 특별우대
 CSS에 대한 높은 이해도
 javascript(vanila JS) 능숙자

 HTTP, REST API에 대한 기본 지식
 xjavascript Framework (jQuery, Angular, React, Vue) 개발 경험
 웹퍼브리싱 및 CSS Preproccesor 사용 경험
 웹사이트 성능 측정 및 향상에 대한 경험
 Chart Library(highchart, tradingview)개발 경험

"
137,(주)비티씨코리아서비스,IT 빗썸거래소 (BackEnd 개발자),"

 BackEnd 신규 개발 및 유지보수

 PHP, Java 개발 경험
 RDBMS(Oracle, Mysql, etc) 사용 경험
 대용량 트랜젝션 처리 경험
 RESTful API 등 웹통신 개발 경험
 OWASP TOP(WEB)보안 취약점 이해 및 보안코딩 경험

 Git, Jira, Confluence 사용 경험
 php Framework (CI, Laravel 등) 개발 경험
 redis, node.js 개발 경험
 대용량 트래픽 무중단 서비스 경험 및 운영
 금융, 증권, 암호화폐 관련 개발 경험
 비즈니스 프로세스에 대한 이해도가 높은 자
 문제 해결을 적극적으로 시도하고 책임감이 강한 자

"
138,(주)엔씨소프트,Global Solution Architect 모집,"

1. 업무내용
글로벌 서비스를 위한 전략을 수립하고 목표를 달성하기 위한 관리 활동을 수행한다.
IT서비스의 혁신과 가치 향상을 위해 과제를 구성하고 리더 역할을 수행, 조직 전체의 변화를 만들며 경쟁력을 확보한다.

2. 주요업무내용
A. 글로벌 혁신
 글로벌 혁신 과제 제안
 실무 부서와 혁신 과제 수행(리딩) 및 보고
 조직의 변화 선도 및 기술 리딩

B . 글로벌 전략 수립
 경쟁사 벤치마킹
 기술 트랜드 및 업계 동향 수집
 글로벌 IT 마스터 플랜 및 경쟁력 확보 전략 수립

C. 글로벌 서비스 구조 설계
 확장 가능한 컴퓨팅 시스템, 소프트웨어 아키텍처, 데이터 구조 설계
 비용 절감이 가능한 IT서비스 환경 설계 및 개선

D. 협업 체계 개선
 조직 내 운영 관련 조직의 협업 체계 개선(장애 협업 체계 등)

[공통 요건]
 해외여행 결격사유 없는 자
 채용 규정에 어긋나지 않는 자
 보훈 대상자 및 장애인 우대

 학력 : 학사이상
 경력기간 : 5년 ~
 필수조건
 Solution Architect 경험 / IT기획 및 컨설팅 경력
 대규모 IT 조직에서의 PM 경험
 IT 개발자 혹은 엔지니어 경력
 원활한 커뮤니케이션 역량

 제출서류
 필수 제출서류 없음

 클라우드 서비스에 대한 높은 이해
 스스로 업무 목표를 잡고 추진하여 조직 전체의 변화를 만든 경험
 글로벌 IT프로젝트 관리 및 IT인프라 설계 경험
 글로벌 게임 서비스에 대한 열정
 다양한 오픈 소스 경험
 글로벌 서비스 경험

"
139,(주)해줌,서비스 기획자,"해줌은 2012년에 설립된 회사로, 온라인 태양광플랫폼 해줌은 소비자로부터 멀게만 느껴졌던 대한민국 태양광 산업에 끊임없는 혁신을 만들고 있습니다.

2013년 1월, 태양광 발전소 수익성 분석 서비스인 햇빛지도로 출발하여, 현재는 한국에너지공단 주관 태양광 대여사업에 6년 연속 가구수별 시장점유율 1위의 기업으로 발돋움 하였습니다.
2016년 포스코기술투자로부터 투자를 유치했으며, 이후 소규모 전력중개사업자 선정에 이어 머신러닝을 통한 발전소 이상감지 예측 솔루션 특허를 출원하며 IT기술을 활용한 태양광 산업을 선도하고 있습니다.

해줌은 IT기술과 데이터 사이언스를 토대로 고수익과 안정성 그리고 지속 가능성까지 고려한 태양광 에너지 확산을 위해 끊임없이 노력합니다.

""재생에너지를 최대 전력원으로""라는 미션과 함께 해줌의 핵심가치를 함께 실천할 인재분을 찾고 있습니다!

B2B 사이트 기획/운영
신사업 IT서비스 기획

웹, 모바일 서비스 운영 및 기획 경험
사용자 중심의 UI/UX 화면설계, 비즈니스 전략 수립 경험
로그분석 툴 이해도가 높으신 분

스타트업 근무 및 IT업계 관련 경험
에너지 / 전력 / 태양광 시장에 대한 관심과 이해
홈페이지 기획 및 분석을 통한 마케팅 경험
원활한 대인관계 및 커뮤니케이션 능력

 8시~10시 내가 원하는 시간에 출근하는 선택적 근로시간제 진행중!
 매월 1회, 자기개발 하러 조기퇴근 gogo!
 깨끗하고 운동장 같이 넓은 사무실
 열심히 일한 당신, 떠나라! GWP를 위한 분기별 플레이샵
 술만 마시는 회식은 노노! 맛있는 것 먹고 즐길 수 있는 회식 분위기
 나만을 위한 기념을 만들 수 있는 휴가, 마이데이
 아프지말아요. 입사와 동시에 가입되는 실비, 운전자보험
 고민거리 걱정마세요, 전문상담사에게 받는 심리상담, EAP
 3년, 5년, 7년 ... 오래오래 함께해요, 장기근속 휴가/휴가비 지원
 매일 다른 구성원들과의 맛있는 점심식사, 비용 지원까지!
 부서별 원활한 소통을 위한 간식비 지원
 볼링, 영화, 풋살 등 동호회 적극 지원


#스타트업 #자율복장 #GWP #즐거운직장만들기 #유연근무 #인센티브 #성과급 #자기개발 #휴게실 #게임기 #플스 #생일선물 #점심제공 #건강검진 #단체보험 #운전자보험 #동호회 #출산전후휴가 #육아휴직 #장기근속휴가 #EAP #간식비 #노사협의회 #도서구매비 #교육지원 #회사차량 #플레이샵 #해외워크샵"
140,(주)비티씨코리아서비스,IT 빗썸거래소 (FrontEnd 개발자),"

 빗썸거래소 FrontEnd 개발

 유관경력 2년 이상
 React 라이브러리 능숙한 전문가 특별우대
 CSS에 대한 높은 이해도
 javascript(vanila JS) 능숙자

 HTTP, REST API에 대한 기본 지식
 xjavascript Framework (jQuery, Angular, React, Vue) 개발 경험
 웹퍼브리싱 및 CSS Preproccesor 사용 경험
 웹사이트 성능 측정 및 향상에 대한 경험
 Chart Library(highchart, tradingview)개발 경험

"
141,잡플래닛 매칭서비스,국내 중견 제약기업  국내 제약기업 웹개발.,"1971년 12월 창립 중견제약기업
홈삼가공제품이 주 아이템
이외에 음료 쥬스류도 생산
히트상품 : 진생업, 삼정톤, 탑씨, 맥콜, 천연사이다, RC콜라
OEM : 롯데마트콜라, 홈플러스콜라, 815콜라
직원수 : 390명 (2019년 기준)
매출 : 2400억 (2019년 기준)
대표자 : 김상균, 정창주
사업장 : 강동구 상일동

IT팀
WEB 개발담당
 웹 개발 및 유지보수 업무
 Power BI를 활용한 경영분석
 BI 시스템 구축
 PC 수리등의 IT 지원 업무.

학사학위 이상
(IT 관련 정공자)
웹 개발 및 유지보수
 JSP, spring, framework, javascript
 DB (MSSQL, oracle
 IT 인프라 관리 및 지원.

 Power BI 경험자 우대

첨부참조"
142,(주)비티씨코리아서비스,IT 빗썸거래소 (FrontEnd 개발자),"

 빗썸거래소 FrontEnd 개발

 유관경력 2년 이상
 React 라이브러리 능숙한 전문가 특별우대
 CSS에 대한 높은 이해도
 javascript(vanila JS) 능숙자

 HTTP, REST API에 대한 기본 지식
 xjavascript Framework (jQuery, Angular, React, Vue) 개발 경험
 웹퍼브리싱 및 CSS Preproccesor 사용 경험
 웹사이트 성능 측정 및 향상에 대한 경험
 Chart Library(highchart, tradingview)개발 경험

"
143,한우리아이티(주),영업,"

 IT 솔루션 기술 영업
(영업기획, 제안, 수주, 계약, 관리 등 영업제반 업무)
 VAN 가맹점 영업
 사업기획 및 파트너사 관리

 전략적 영업사고를 가진 자
 활동적이고 원활한 커뮤니케이션 능력 보유자 영업
 운전면허증 보유 운전가능자

 VAN/PG관련 업무 경력자 우대
 MS Office 및 프리젠테이션 능숙자

 기본복지 : 주 5일 근무, 퇴직연금, 4대보험 (국민연금, 고용보험, 산재보험, 건강보험), 야근수당, 휴일수당
 탄력근무제 : 출퇴근 시간을 선택할 수 있는 탄력근무제도!
 자유로운 연차 사용 : 입사 1년 미만도 11개의 연차 필수 사용!
 야근 걱정 NO : 늦은 시간까지 건강을 놓치지 않도록 석식비, 택시비 제공!
 자율 복장 : 여름엔 시원하게! 겨울엔 따뜻하게!!
 경조사 : 지원 회사에서 함께 축하하고 위로합니다.
 생일축하 : 생일축하 상품권 지급
 명절 선물&귀향비 지급 : 고향에 갈 때는 양 손 두둑하게!
 연말 시상 및 상품 지급 : 장기근속자 포상, 우수사원 표창/포상
 국내 및 해외 워크샵 ; 일할 땐 일하고 놀 땐 제대로!!
 연 1회 전직원 건강검진 : 직원 건강을 우선적으로!
 기업복지 : 입사자 청년내일채움공제 가입, 근로자 휴가지원 사업(베네피아)
 사내 카페테리아 : 커피, 각종 Tea, 간식 구비
 도서구입비 지원 : 업무스킬업을 위한 도서는 언제든 구입가능!
 비상약 지원 : 기본 비상약 (진통제, 두통약, 연고, 밴드 등) 구비"
144,잡플래닛 매칭서비스,국내 1위  크라우드 펀딩 전문 플랫폼 기업  1. 정보보안 및 운영,"국내 1위  크라우드 펀딩 전문 플랫폼 기업

 서비스 및 백오피스 IT인프라 로그 관리 및 분석 체계 수립
 서비스 및 백오피스 IT인프라 로그 분석 및 개선사항 도출
 네트워크 장비, 보안장비, 엔드포인트 솔루션의 로그 관리 및 분석을 통한 통합 대시보드 구성
 서비스 IT 인프라와 백오피스 IT 인프라 도입 및 변경 시 보안성 검토
 네트워크 장비, 보안장비, 엔드포인트 솔루션 운영 및 개선(장비별 보안 설정 / 정기점검 / 유지보수 등) 지원

 관련 업무 7년 이상의 경력
 네트워크, 보안 장비, 엔드포인트 솔루션의 도입 및 구축 경험
 네트워크, 보안 장비, 엔드포인트 솔루션 운영 개선사항 제시 능력
 네트워크, 보안장비, 엔드포인트 솔루션 로그 특성의 이해와 분석 능력
 개발, 시스템 엔지니어, 기술지원 협력사 등과 원활하게 소통할 수 있는 협업 능력

 네트워크 구성 보안성 검토 경험
 ISMSP, ISO27001 등 국내/외 보안 인증심사 수검 경험
 CCNA / CCNP / CISSP / CISA / 보안인증 심사원 등 네트워크, 보안관련 자격증 보유자
 클라우드 인프라 전환 및 신규 구축 경험 보유자
 로그 수집, 분석, 대시보드 시스템 구축 PM 경험자

 유연근무제
 재택근무제도
 3년 근무시 2주 리프레쉬 휴가
 출근셔틀버스
 사내 카페
 무료 스낵바
 피트니스센터
 수면실
 도서무한지원
 건강검진"
145,비티씨코리아닷컴(주),IT 빗썸거래소 (FrontEnd 개발자),"

 빗썸거래소 FrontEnd 개발

 유관경력 2년 이상
 React 라이브러리 능숙한 전문가 특별우대
 CSS에 대한 높은 이해도
 javascript(vanila JS) 능숙자

 HTTP, REST API에 대한 기본 지식
 xjavascript Framework (jQuery, Angular, React, Vue) 개발 경험
 웹퍼브리싱 및 CSS Preproccesor 사용 경험
 웹사이트 성능 측정 및 향상에 대한 경험
 Chart Library(highchart, tradingview)개발 경험

"
146,비티씨코리아닷컴(주),IT 빗썸거래소 (BackEnd 개발자),"

 BackEnd 신규 개발 및 유지보수

 PHP, Java 개발 경험
 RDBMS(Oracle, Mysql, etc) 사용 경험
 대용량 트랜젝션 처리 경험
 RESTful API 등 웹통신 개발 경험
 OWASP TOP(WEB)보안 취약점 이해 및 보안코딩 경험

 Git, Jira, Confluence 사용 경험
 php Framework (CI, Laravel 등) 개발 경험
 redis, node.js 개발 경험
 대용량 트래픽 무중단 서비스 경험 및 운영
 금융, 증권, 암호화폐 관련 개발 경험
 비즈니스 프로세스에 대한 이해도가 높은 자
 문제 해결을 적극적으로 시도하고 책임감이 강한 자

"
147,네오플(주), 시스템/네트워크 엔지니어 모집,"

 X86 기반의 IT 서비스 인프라 설계 / 구축 / 운영
 Cloud 인프라 환경에서의 IT 서비스 시스템 설계 / 구축 / 운영
 고가용성 대용량 네트워크 인프라 설계 및 기획
 오픈소스 기반의 시스템 운영 자동화 도구 개발 / 운영
 사내 IT 인프라 서비스 운영 개선 및 신규 서비스 설계 / 구축

 5년 이상의 온라인 IT 서비스 시스템 운영 경험이 있으신 분
 X86 기반의 OS ( Linux, WIndows) 운영 스킬 보유하고 계신 분
 OS 운영도구 개발/활용 가능하신 분

 DBMS, Nosql에 대한 설계 및 운영 경험 있으신 분
 Elasticsearch 구축 및 운영 경험 있으신 분

"
148,(주)에이비일팔공,Account Executive,"에이비일팔공은 웹과 앱을 통합하여 사용자의 행동을 분석하고, 마케팅 성과를 측정해주는 툴 에어브릿지 (airbridge.io)를 만들고 있습니다. 오늘날 디지털 제품은 모든 비즈니스의 중심이 되고 있습니다. 에어브릿지는 현재 이베이코리아, 지에스홈쇼핑, 버거킹, KB증권, SK Stoa 등 150개가 넘는 국내외 최고 회사들의 마케팅 성과 측정 및 최적화를 돕고 있으며, 이를 통해 해당 비즈니스들의 데이터 기반의 성장을 돕고 있습니다.

에이비일팔공은 최근 29억원 규모의 시리즈 A 투자 유치를 마무리 하였으며 누적 투자규모 50억을 달성하였습니다.
확충된 재원을 바탕으로 글로벌 시장으로 진출하기 위한 기술력을 개발하고 폭발적인 성장을 함께 만들어갈 동료를 찾는 일에 집중하려 합니다.

한국 최고의 MarTech 컨설턴시 에이비일팔공과 함께 성장을 경험해보세요.



︎ 에이비일팔공에 대해 더 많은 정보를 알고 싶으시다면 아래 링크를 참조해주세요.
1. 에이비일팔공 채용 페이지 | https://recruit.ab180.co/
2. 그로스 해킹, 실험이 답이다 | http://abit.ly/AB180_Growth_Team

 SaaS 솔루션 기술 영업
 고객사에게 프리젠테이션, 데모 진행
 제안서 제작

 스타트업 또는 IT기업에서 2년 이상 고객관리 영업 업무를 담당하신 분
 동종업계 경력이 있으시거나 영업 마케팅 전략 수립 경험이 있으신 분
 B2B 디지털 영업 마케팅 경험이 있으신 분
 탁월한 프리젠테이션 능력을 보유하신 분
 자료 수집, 분석, 요약 리포팅 경험이 있으신 분
 다양한 툴 사용을 통한 문서 작성이 가능하신 분 (PowerPoint, Excel 등)
 해외출장이 가능하신 분 (최대 2주/월)

 영어를 능숙하게 사용할 수 있는 분 (일본어, 중국어, 기타 외국어 가능하신분 우대)
 애드테크 업계에 대한 전반적인 이해도가 높으신 분
 기술에 대한 이해도 및 관심을 갖고 있으신 분
 담당 업무에 대한 책임감 및 능동적인 태도를 갖고 있으신 분
 뛰어난 커뮤니케이션 스킬을 보유하신 분
 창의적이고 긍정적인 사고방식을 갖고 있으신 분
 CAN DO attitude를 갖고 있으신 분

[Always Better. Better, Always.]
우리는 항상 내 일에 최선을 다하며, 더 잘할 수 있도록 성장할 기회를 모색합니다. 우리는 여태까지 개인의 성장이 팀의 성장으로 이어진다는걸 검증해왔으며 앞으로도 검증해 나갈 것입니다.
회사의 주인은 우리 모두입니다. 업무 환경을 개선하고 프로세스를 효율화하여 생산성을 높일 수 있도록 스스로 노력하며 그에 따른 지원을 아끼지 않습니다.

[업무 효율 중심 문화]
 Open Culture, 우리가 몰입할 수 있는 업무 문화를 위해 적극적으로 의견을 개진하고 개선해나갑니다.
 Airbase, 매월 모든 임직원이 모여 로드맵과 업무 티켓을 점검하고 회고합니다.
 직급체계가 아닌 '님'을 통해 상호 수평적인 조직문화를 추구합니다.
 고사양의 업무용 디바이스를 지원합니다. (개인용 MacBook, MagicMouse, Magic Keyboard, LedPold FC750R, MagicTrack Pad, MicroSoft 인체공학 마우스 기본 지급 / 회의실 별 Apple TV 구비, 웹캠 사용 등)
 다양한 유료 소프트웨어를 사용하고 (Notion, Slack, Github, New Relic, Jira, Docswave 등), 언제든 새로운 툴을 도입할 수 있습니다.
 업무효율은 시간과 비례하지 않는다고 생각하기 때문에 야근을 지양합니다.
 사당역 도보 30초 거리에 우리만의 멋지고 쾌적한 사무실이 있습니다. (라운지, 미팅룸, 탕비실 등 시설 완비)

[일하기 좋은 환경]
 코어 워킹 타임을 기반으로 한 자율 출퇴근제를 운영하고 있습니다.
 눈치 보지 않고 자율적으로 휴가를 사용할 수 있으며 포상 휴가 등 다양한 제도를 시행 중입니다.
 태어나주셔서 감사합니다, 연차와 별개로 생일 휴가를 사용할 수 있습니다.
 한 달에 한 번, 여성분들을 위한 유급 보건 휴가를 지원합니다.
 매월 다양한 용도로 사용 가능한 팀 회식비를 지원합니다. (점심 회식, 문화생활 등의 목적으로 사용할 수 있습니다.)
 해외 출장 시 항공권, 여행자 보험, 숙박 등의 일체 비용을 지원합니다.
 생일 event, 워크숍, 종무식 등 임직원과 함께 다채로운 사내 행사를 진행합니다.
 음료, 과자, 커피 등 간식을 무한제공합니다.
 제한 없는 저녁 식사와 야근교통비를 지원합니다.
 안락한 휴식을 위해 수면실, 리클라이너 소파와 같은 편의시설을 운영합니다.
 비즈니스 캐주얼? NO! 패션은 자유입니다.
 사내전문가님과의 프로필 사진 촬영을 통해 인생샷을 선물해드립니다.
 검증된 실력이라면 업계 최고 수준으로 보상해드립니다.

[성장 지원]
 Review180, 분기별 동료 간의 피드백을 통해 자기 성장은 물론 이를 바탕으로 공정하고 객관적인 보상체계를 운영합니다.
 나와 팀원의 성장을 위해 강의, 세미나, 컨퍼런스 등 교육에 지원을 아끼지 않습니다.
 읽고 싶은 책은 분야에 관련 없이 모두 구매할 수 있습니다.

[생활 안정 지원]
 작지만 큰마음으로 임직원의 기쁨과 슬픔을 함께하고자 경조사 지원금을 드립니다.
 설날, 추석과 같은 명절에 인당 10만 원 상당의 상품권을 선물로 드립니다.
 본인은 물론 부모님까지 건강검진 할인 적용이 가능합니다.
 청년내일채움공제 가입이 가능합니다.
 4대 사회보험 가입을 통해 임직원의 안정적 생활을 도모합니다.

에이비일팔공 관련 기사 보러가기
http://abit.ly/AB180_Growth_Team"
149,(주)코그,INFRA_시스템 엔지니어,"

 사내 IT 장비, IT 시스템, IT 보안 관리, 운영, 장애 지원
 라이브 서비스 Public Cloud 시스템 관리, 운영, 장애 지원
 사내 네트워크 및 보안 관리, 운영
 사내 서버 가상화 시스템 관리, 운영, 장애 지원
 사내 IT 인프라 서비스 운영 개선 및 신규 서비스 설계, 구축
 기타 시스템 모니터링 및 유지보수

 성별, 연령, 학력 제한 없음
 남자의 경우 병역필 혹은 면제자
 해외여행에 결격사유가 없는 자

 인프라팀
 WindowsServer 구축, 운영, 트러블슈팅 가능하신 분
 Linux/FreeBSD 구축, 운영, 트러블슈팅 가능하신 분
 네트워크 기본 지식을 갖추신 분

 AWS, Azure 클라우드 인프라 사용 경험을 보유하신 분
 가상화기반시스템(Vmware, Xen, OpenStack) 관리/운영 경험을 보유하신 분
 시스템 관리 도구(ELK, Grafana, Zabbix, Prometheus) 관리/운영 경험을 보유하신 분
 1개 이상의 스크립트 언어(Powershell, Bash Script, Python, Perl 등)를 사용한 인프라 관리 및 자동화 경험이 있는 분
 네트워크 및 보안 장비(L2/L3/L4 스위치, 방화벽 등) 셋팅 가능 하신 분

"
150,넷마블(주),정보전략,"

 회사의 사업 방향성에 따른 IT 전략 수립 및 수행
 시스템 기반의 업무 표준 프로세스 정립 및 개선
 IT PM/PL 수행
: 시스템 구축 및 개선 관련 프로젝트 관리 담당

 컴퓨터공학 전공하신 분
 시스템 개발 또는 IT PM/PL 경력 3년 이상 보유하신 분
 Spring(혹은 .NET)과 Python 프로그래밍 능력을 보유하신 분
 전략적 사고 역량을 보유하신 분

 관련분야 석/박사 학위 소유자
 ITSM, ITIL 경험 및 지식 보유자
 IT 정보 전략 기획 업무 경험자
 영어 및 제2외국어 의사소통 가능자
 PMP 자격증 보유자

"
151,(주)카카오뱅크, 데이터웨어하우스 운영 담당자,"


 데이터웨어하우스 및 데이터마트 개발 및 운영 업무 수행
 데이터의 검증 및 관리 업무 수행
 금융 데이터 분석 및 동향 파악

 3년 이상의 은행 등 금융권 관련 IT 업무 경험을 보유한 분
 데이터웨어하우스에 대한 이해도가 높은 분

 은행 차세대시스템 구축 경험을 보유한 분
 여수신 업무에 대한 높은 이해도를 보유한 분

[공통 우대 사항]
 국가유공자 및 장애인 등 취업보호대상자는 관계법령에 따라 우대합니다.
(입사지원 시 증빙서류를 첨부하는 경우에 해당하며, 증빙서류는 포트폴리오 란에 첨부해주시길 바랍니다.)

 성장: 연 500만원의 복지포인트를 통해 스스로 성장과 밸런스있는 삶을 고민할 수 있습니다. 취미활동, 운동, 나에게 주는 선물 등 자유롭게 자기주도 마일리지를 사용해 보세요.
 이너피스: 만 3년 근속하신 분에게 한달간의 달콤한 안식휴가를 드립니다. 유급휴가이며 좋은 휴식이 될 수 있도록 안식휴가비 200만원을 별도로 드립니다.
 균형있는 삶: 자유롭게 출퇴근시간을 조정할 수 있는 WorkOn 유연근무제를 운영하고 있습니다. 그 외에도 일과 생활의 균형을 위한 다양한 시도를 하고 있습니다.

 건강: 본인, 배우자, 자녀, 부모, 배우자부모 대상 단체상해보험 가입을 진행하여 의료비와 진단금을 지원하고 있습니다. 본인은 물론 소중한 가족 한명에게도 건강검진을 지원합니다.
 가족: 경조사 및 장례서비스 지원, 자녀 교육비 지원, 대출이자 지원제도, 새로운 가족을 위한 휴가/휴직 등 다양한 제도를 통해 가족의 행복을 함께 고민합니다.

그 밖에도 균형있는 삶(Balanced Life)를 위해 다양한 제도와 환경을 만들어 가고 있습니다."
152,아이티메이트(주),솔루션 사업부,"

 공공ERP 구축 및 운영
 PM
 분석/설계
 개발

 학력 : 초대졸 이상
 전공 무관 (IT 관련 전공자 우대)
 경력 : 3년 이상
 공공기관 IT 경험자 우대
 근무지 : 서울 (프로젝트 투입 시 전국)

[PM]
 구축 PM 경험자 경력 7년 이상

[분석/설계/개발]
 회계관리시스템 구축 및 지식 보유자
 공공부분 경영관리 시스템 유경험자 우대
 ERP 구축 유경험자 우대

[분석/설계/개발]
 공공부분 경영관리 시스템 유경험자 우대
 ERP 구축 유경험자 우대

"
153,피엑스디,경험전략팀 UX 디자이너,"경험전략팀은 다양한 산업이 디지털트랜스포메이션(DT)화되면서 여러 변화와 혁신이 이루어짐에 따라, UXer들이 DT관점에서 어떤 혁신과 시도를 해야하는지에 대한 비즈니스 기반의 UX전략을 탐구하는 조직입니다.


비즈니스 / IT Trend에 대한 이해를 바탕으로 Insignt를 제시


비즈니스 / IT Trend에 대한 이해를 바탕으로 Insignt를 제시
서비스, 제품에 새로운 방향성을 제시


업계 트렌드에 대해 넓은 시각을 가지고, 새로운 아이디어를 탐구하여 도출할 수 있는 분
새로운 도전과 실패를 두려워하지 않고, 적극적으로 탐구하는 주도적인 분


UX 전략수립, 컨설팅 관련 업무 3년 이상의 실무 경험
다양한 직군과의 커뮤니케이션 능력 보유
사용자의 시각으로 고민하여 문제를 해결하는데 능숙한 분
전략적 사고와 깊이 있는 리서치를 통해 시장에서 새로운 기회를 찾아본 경험

데이터 기반의 서비스 개선 및 문제 해결 능력이 높으신 분
UX컨설팅/ 서비스 기획 PM경력이 있으신 분
각종 법령에서 우대 채용으로 정하는 분

 탄력/자율근무제 운영
 회사 자체 휴무일 운영
 장기근속자 Refresh 휴가
 해외연수 및 도서비 지원
 아침식사 및 간식, 음료 제공
 경조 휴가 및 경조금 지원
 패밀리데이 및 급여일, 생일 조기퇴근제도 운영
 야근 시 식대, 교통비 지원
 명절 선물 및 직전 영업일 조기퇴근
 건강검진
 공기청정기, 카페테리아, 안마의자, 사내도서관 운영"
