company,task,info
(주)와탭랩스,B2B 스타트업 세일즈,"주요업무
- 스타트업 고객사 관리
- 고객사의 개발자 및 운영자 관리
- 고객사의 이슈 정리 및 전달
자격요건
- IT 서비스에 대한 기본적인 이해
- 자신의 의견을 정제된 언어로 조리 있게 표현할 수 있는 사람
- 외향적인 성격과 협조적/원만한 대인관계
- 탁월한 영업 커뮤니케이션 능력
- Excel을 통한 기본적인 고객 데이터 분석 능력
우대사항
- 스타트업에서 B2B영업 경험
- SaaS Application에 대한 이해 및 관련 기술 지식 보유
- 탁월한 제안서 작성 능력
- 고객 상담 경험자 (동종업계 경력 우대)
채용절차
- 서류 검토 : 보내주신 이력서와 참고 자료를 검토합니다.
- 대표 면접 : 회사와 개인의 목표가 일치하는지 논의합니다.
- 동료 면접 : 함께 일할 동료들과 함께 직무 적합성을 검토합니다.
- 최종 합격 : 3개월의 수습과정을 거쳐 최종 합격이 결정됩니다

* 자유 양식의 이력서 및 포트폴리오 PDF 파일로 제출
* 이력서 및 포트폴리오를 recruit@whatap.io로 보내주세요.
기타
- 병역특례도 지원 가능합니다."
(주)한결피아이에프,영업,"주요업무
- 영업
자격요건
- 신입 : 업무에 대한 패기와 열정이 높으며 진취적인 자
- 경력 : 국내외 기업에서 관련 분야 경력이 2년 이상인 자
- 공통사항 : 병역필(면제자)로서 해외여행에 결격사유가 없는자
우대사항
- 해당분야 자격증 소지자 및 외국어 가능자 우대
채용절차
서류면접 > 1차 면접 > 2차 임원 면접

[제출서류]
- 이력서, 자기소개서, 최종학교 졸업증명서, 최종학교 성적증명서
(hwp파일은 피해주시고, Word 및 Excel파일로 제출해 주십시오.)
복리후생
[복리후생]
1) 선물 지급
? 근로자의 날 또는 창립기념일에 전직원에 선물 지급
? 기혼자는 결혼기념일에, 미혼자는 생일에 상품권 지급
? 설과 추석에 전직원 선물 지급
? 어버이날에 기혼자는 양가 부모님께, 미혼자는 부모님께 선물 지급
2) 하계휴가비 지급 : 7월에 전직원 하계휴가비 50만원 지급
3) 자녀 학자금 지원
? 초등학교 : 입학축하금 50만원 지급
? 중고등학교 : 각각 교복지원비 80만원 한도 지급
? 고등학교 : 연 200만원 한도 학자금 지원
? 대학교 : 반기당 300만원 한도 학자금 지원
4) 의료지원
? 직장검진 : 2년에 1회 실시. 검사시 전직원 혈액 검사 지원 및 위, 대장 내시경 지원
? 40세이상 : 3년에 1회씩 배우자 포함 지정병원 종합검진 지원
5) 장기근속상 : 7년 및 10년 장기근속시 금 5돈 및 금 10돈 지급
6) 동호회 지원비 : 월1회 동호회원 1인당 2만원 활동비 지급

[업무지원]
1) 유류지원비 : 개인차량을 업무에 사용시 주차 및 유류비를 지원하고 감가상각비의 성격으로 월 20만원 별도 지급
2) 야간 근로 및 휴일 근로 수당 : 법정 근로 시간 이외 근로시 추가 수당 지급
3) 저녁 및 휴일 식대 : 업무상 필요로 근로 시간 이외 근로시 식대 실비 정산
4) 연차 휴가 : 근로기준법에 의거 연차 휴가 부여
5) 상해보험 : 법정 4대 보험 이외에 전 직원 상해 보험에 가입
6) 경조사 지원 : 경조사 지원 규정에 의하여 지원
7) 교육 지원 : 교육, 강의, 세미나 등 회사에서 진행하거나, 필요에 따른 개인 신청시 지원
8) 퇴직금 : 전 직원 퇴직연금에 가입하여 매년 100% 불입
9) 경영성과급 : 이익 잉여금 발생시 회사의 경영상태를 감안하여 전 직원 경영성과급 공유"
엑센솔루션(주),SW Product Marketing,"주요업무
제품마케팅 전문가
- 제품 프로모션 기획 및 실행 (판매/영업 활동 촉진)
- 제품 Life Cycle 관리 (로드맵 관리)
- 제품 관련 정책 수립 및 실행
- 마케팅 커뮤니케이션
자격요건
- IT 및 SW 산업에서 마케팅 및 전략 업무분야 5년이상 경력
- 과장급
- IT 제품 마케팅 경력 3년 이상
- 해외여행에 결격 사유가 없는 분
- 성실한 자세와 적극적인 마인드로 업무에 임할 수 있는 분
우대사항
- 산업공학 및 전산전공 분야 우대
- 대졸 신입 및 관련분야 경력자 우대
채용절차
입사지원 > 서류전형 > 1차면접 > 2차면접 > 최종합격

[제출서류]
- 입사지원서
- 자기소개서(경력 중심으로 기술)"
뤼이드(주),PM,"기업소개
“교육계는 왜 혁신이 일어나지 않는가?”

뤼이드(Riiid!)는 데이터 기술을 통해 교육 업계의 창조적 파괴에 도전하는 기술 기반 교육 스타트업입니다. ‘제거하다’는 뜻의 영어 단어 ‘리드(Rid)’를 위트있게 표현한 뤼이드(Riiid!)라는 이름에는 기술로 세상의 불편함을 제거한다는 뤼이더스(Riiiders)의 비전이 담겨 있습니다.

생활의 많은 부분이 정보기술(IT)과 결합해 급속히 발전한 반면, 교육 분야는 여전히 일대 다수를 대상으로 하는 주입식 학원 강의와 동일한 형식과 유형으로 구성된 두꺼운 문제집에 의존하고 있습니다.

뤼이드는 데이터 기술이야말로 전통적인 방식을 탈피하여 학생 개개인의 학습 상태에 맞는 교육을 제공할 수 있다고 믿습니다. 인공 지능 기반의 어댑티브 러닝을 통해 저렴한 가격으로 양질의 콘텐츠를 학습할 수 있는 교육 기회의 평준화를 실현할 계획입니다.

앞으로 뤼이드와 함께 교육 업계의 창조적 파괴를 통해 어댑티브 세상을 만들어나갈 PM을 모십니다.
주요업무
? AI Tutor를 새로운 영역에 진출하기 위한 사업전략을 기획하고 운영합니다.
? 신사업 확장을 위한 국내외 마켓 리서치를 세밀하게 합니다.
? 개발자, 디자이너 직군과 완만한 협업을 통해 우선 순위를 설정하고 일정을 수립/관리 합니다.
? 사업 목표 달성 및 성과 측정을 위한 효율적인 업무 방식 도입합니다.
자격요건
? Tech/IT/Mobile/AI 분야에서 PM 경력 3년 이상이신 분
? AI Tutor 확장을 위한 전략적인 실행력을 보유하신 분
? 스스로 문제 및 가설을 설정하고 검증하는 역량을 보유하신 분
? 논리적인 커뮤니케이션과 원활한 협업이 가능하신 분
우대사항
? 컨설팅펌 경험이 있으신 분
? 고도화된 기술적 이해를 갖추신 분 (산업공학 또는 컴퓨터공학 전공)
? 개발자, 디자이너 직군과 협업 경험이 있으신 분
? 뤼이드의 도전에 동참하고 끝없이 성장하기를 원하시는 분
? 항상 [왜?]라는 질문에서부터 출발하여 스스로 동기부여를 받으시는 분
? 자유로운 환경에서 최대한 퍼포먼스를 낼 수 있으신 분
채용절차
[채용절차]
? 서류심사 > 실무진 면접 > 최종 합격(서류 통과자에 한해 개별 연락)
? 지원서류: 자유 양식의 이력서 및 자기소개서(PDF 파일 권장)
? 점심 시간과 저녁 시간에도 인터뷰는 가능합니다 :-)
? 과제 진행 가능성 있습니다.
복리후생
＜몰입할 수 있게＞
? 최고 복지인 '좋은 동료들'과 함께 일합니다.
? 편리한 출퇴근(삼성역/봉은사역 도보 5분)
? 식비 걱정 없는 식사 시간
? 무제한 당 충전&카페인 충전: 간식, 음료 냉장고, 고급 커피 원두, 머신 제공
? 업무 장비: 고사양 맥북/장비 지원/개발 관련 서비스/SW 및 Tool 구매 지원
? 전 직원 무빙 데스크 사용
? 교통비 지원: 야근 시 택시비 지원

＜성장할 수 있게＞
? 교육 지원: 경쟁력 강화를 위한 세미나/컨퍼런스/스터디 지원
? 도서 지원: 업무 관련 서적 무제한 지원

＜일상을 보낼 수 있게＞
? 별도 승인 없는 휴가
? 강요 없는 회식 문화
? 임직원 건강검진 제공
? Riiid well-being Program: 핸드 테라피, 교정 테라피 주 1회 제공
? 각종 경조사 지원: 경조금, 경조휴가
참고자료
https://riiid.co/ko/main
https://www.youtube.com/channel/UCEBZG5LaflO_U_JXaoENHSw"
(주)매스프레소,Recruiting Manager,"주요업무
- 현업의 채용 파트너로서 우수 인재 확보를 위한 채용 업무 Full Cycle 운영
- HR, 채용에 대한 Insight를 쌓고 매스프레소에 최적화된 채용 전략 수립 및 프로세스 개선
- 주요 채용 채널 (잡사이트, 링크드인, 서치펌 등)을 활용한 후보자 확보 및 인재 데이터 풀 관리
- 채용 브랜딩을 위한 온라인 플랫폼 관리, 회사 소개 자료 업데이트, 오프라인 이벤트 기획
- 대학교 랩 연결, 테크 세미나 참석, 업계 인사 네트워킹을 통해 오프라인 채널에서의 인재 발굴
- 온보딩 및 리텐션 프로그램 기획 및 운영
자격요건
- IT업계 인하우스 또는 서치펌에서 후보자 소싱부터 온보딩까지의 Full Cycle 경험 3년 이상
- 원티드, 로켓펀치, 링크드인 등 다양한 온라인 채용 플랫폼 경험
- 매스프레소 비전에 대한 공감과 Edtech 시장에 대한 학습력
- IT, 플랫폼, 국내 스타트업 업계에 대한 높은 이해도
- 원활한 커뮤니케이션, 능동적인 대인관계능력, 스스로 높은 목표 설정과 동기부여가 가능하신 분
-채용과 인사에 대한 연구와 선진 우수 사례, 트렌드를 능동적으로 파악하고 계신 분
우대사항
- 비즈니스 레벨 영어 능력
- 온/오프라인 채널에서의 채용 브랜딩 경험
- 소프트웨어 개발 언어에 친숙하고 최신 기술 트렌드를 파악하고 있는 분
- 면접 도구 개발 및 면접 교육/진행 경험이 있으신 분
채용절차
- 서류 전형 → 1-2차 면접 → 최종 합격
- 자유 양식의 국문/영문 이력서(PDF)
복리후생
- 코어타임 11시-5시를 기준으로 한 자유로운 출퇴근, 유연근무제 운영
- 눈치 없는 휴가 사용과 무제한 휴가 제도
- 점심&저녁 식사비 지원
- 월 10만 원의 자기개발비 지원 (도서, 세미나, 교육)
- 월 10만 원의 체력단련비 지원 (피트니스, 요가, 필라테스 등)
- 근속 기간 3년, 5년 시 리프레시 휴가와 휴가비 지급
- 주거와 생활 안정을 위한 대출 지원
- 배우자와 함께 건강검진 지원
- 팀 커뮤니케이션 활성화를 위한 티타임 및 식사 비용 별도 지원
- 무료 스낵바, 에스프레소 머신, 음료 등의 무제한 간식 지원
- 맥북, 모니터 등의 고사양 IT장비 지원
- 사내 동아리 활동 지원 (밴드, 탁구, 독서모임 운영 중)
- 매년 떠나는 해외 워크샵
기타
- 근무 형태: 정규직 (수습기간 3개월)
- 근무 지역: 서울시 강남구 선릉로 428, 17층
- 이력서에 지원분야의 경력 사항을 최대한 구제적이고 상세히 기술해 주시길 바랍니다.
- 모든 서류는 PDF 파일로 제출해주시기 바랍니다.
- 입사지원서 내용에 허위사실이 판명될 경우 입사가 취소될 수 있습니다."
넥스트플로어(주),Coordination Lead 모집,"주요업무
- 부서의 각 기능조직 간 유기적인 협업을 도모
- 주요 유관부서와의 커뮤니케이션 Hub
- 부서의 주요 타이틀 지표 트래킹
- 월간 / 주간 보고 취합 및 보고
자격요건
- 게임 산업 및 IT 관련 업무 경력 5년 이상
- 원활한 커뮤니케이션 스킬을 보유하신 분
- 긍정적이고 성실하며 책임감 있으신 분
- 논리적인 사고 및 분석이 가능하신 분
우대사항
- 외국어(영어,일어) 사용이 가능하신 분
채용절차
- 입사지원 및 서류전형 > 실무진 인터뷰 > 임원진 인터뷰 > 최종합격
기타
* 기타사항
- 본 채용공고는 채용여부에 따라 조기마감 또는 연장될 수 있습니다.
- 채용절차 외에도 직무별 필요에 따라 추가 인터뷰, 과제 등 별도의 전형이 포함될 수 있습니다."
네이버(주),네이버 자금 및 자산운용,"주요업무
- 네이버 및 계열법인의 입출금 및 유동성 관리
- 자금계획 수립 및 보유자산의 포트폴리오 관리
자격요건
- 5년~7년 상장법인 자금팀 경력 (대기업, IT 기업, 글로벌 기업의 자금 업무 경험자)이 있으신 분
- 기본적인 자금관리 업무, 중장기 현금흐름 계획 수립 경험자
- 자산운용 및 자금조달 실무 경험자
- 국내외 금융시장 분석 및 리스크 관리 및 보고 경험자
우대사항
- 네이버 서비스 및 국내외 ICT 산업에 대한 기본적인 이해와 관심이 있으신 분
채용절차
- 서류전형 > (전화면접) > 1차면접 > 인성검사 > 2차면접 > (최종면접) > 최종합격 (전형절차는 직무별로 다르게 운영될 수 있으며, 일정 및 상황에 따라 변동될 수 있습니다.)
- 전형절차는 직무별로 다르게 운영될 수 있으며 일정 및 상황에 따라 변동될 수 있습니다.
기타
- 본 공고는 인재 선발 완료 시 조기 마감될 수 있습니다
- 지원서 내용 중 허위사실이 있는 경우에는 합격이 취소될 수 있습니다.
- 국가유공자 및 장애인 등 취업보호 대상자는 관계법령에 따라 우대합니다.
- 국가 유공자의 가산점 부여를 받기 위해서는 본인이 '취업지원 대상자 증명서'를 회사에 제출해야 합니다.
- 남자의 경우 군필자 또는 면제자에 한해 지원 가능합니다. (단, 전문연구요원 전직의 경우 요건 충족 시 지원 가능)
- 제출해 주신 지원서의 검토 결과 발표는 지원서에 등록하신 이메일로 개별 안내드립니다.
- 문의사항은 NAVER 채용 홈페이지 지원 문의로 접수해주시기 바랍니다"
쿠팡(주),"[Coupang Pay] Principal, Information Security Analysis (FinTech Security & Privacy)","기업소개
쿠팡 주식회사에서 분사한 쿠팡페이는 늘어나는 쿠팡 고객의 니즈에 부응하기 위해 개발된 맞춤형 전자결제대행서비스(PG)를 제공합니다.

쿠팡페이는 coupang.com 및 쿠팡이츠에서 물건을 구매하는 고객부터 쿠팡의 오픈마켓을 이용하는 판매자 그리고 쿠팡이츠 가맹점까지 쿠팡의 플랫폼을 이용하는 모든 이들에게 혁신적인 결제 및 금융 서비스 솔루션을 제공하는 데 중점을 두고 있습니다.

핀테크 분야에서 풍부한 경험을 쌓고 쿠팡 사업에 대해 그 누구보다 잘 알고 있는 직원들과 함께 쿠팡페이는 고객의 결제와 관련된 모든 경험들을 혁신하고자 합니다.

쿠팡페이에 대해 더 알고 싶으신가요? 쿠팡페이의 여정에 함께 하세요.
주요업무
Fintech 는 국제 신용카드 결제, 로켓머니 2.0, 로열티 프로그램, 신용카드를 통한 신원 검증 등 수많은 신규 서비스를 개시하며 사업을 확장하고 있습니다. 이에 따라 보안 검토, 규제 문서화, PCI/DSS와 같은 보안 평가 및 인증 프로그램 등을 더욱 더 빈번히 시행할 필요성이 증대되었습니다. 또한 전자금융규정에 따라 일별/월별 보안 체크리스트, 정기적 규제 보고서, 반기별 보안평가, 업체 평가, 시스템 및 데이터센터 접근 검토, 기타 데이터 보안 통제와 같은 정기적인 거버넌스 업무도 존재합니다. 급속히 확장하는 Fintech 비즈니스 변화에 빠르게 대응하고 선도하며, 규제 요건과 업계 표준에 발맞추어 핀테크 시스템에 대한 보안 통제와 올바른 운영을 위해, 핀테크보안팀은 역량있는 정보보안 분석가를 채용합니다.

[업무내용]
? 전자금융규정 및 PCI/DSS 등의 업계 표준 요건을 준수하기 위한 일련의 보안 통제 및 체크리스트 개발 및 개선
? 관련 규정 및 업계 표준 요건을 평가, 모니터링, 준수하기 위한 프로그램 개발
? 핀테크 서비스에 대한 보안 검토 및 취약점 조치 지원
? 신규 보안 솔루션 및 정보보안 프로젝트 지원
? 비즈니스 관리자 및 사용자에 대한 교육과 협업을 통해 보안 거버넌스 프로그램 및 절차에 대한 인식 제고
? 정보보안 위험 식별, 모니터링, 분석 및 적절한 통제 적용
? 당사의 아키텍처 표준, 비즈니스 목표, 규제 지침에 따라 효과적, 효율적인 보안 솔루션 설계 및 구현 지원
자격요건
? 컴퓨터 사이언스, 정보보안 또는 관련 분야 학사 학위 이상 보유하신 분
? 최소 5년 이상의 정보보안 혹은 IT 거버넌스 직무 경험을 보유하신 분
? 금융업 규제 환경 및 PCI/DSS평가, 정보보안 관련 ISO 및 ISMS에 대한 이해가 가능하신 분
? 기술 위험 프레임워크, 모범 사례 및 표준에 대한 지식 보유을 보유하신 분
우대사항
? 기술 위험 관리 개념 및 위험의 효과적 예방, 탐지, 완화를 위한 기술 통제, 정책, 절차에 대한 뛰어난 이해도가 있으신 분
? 우수한 대인 간, 구두, 서면 커뮤니케이션 능력 (한국어, 영어). 현황, 위험, 영향 정도를 포함한 기술적 요소 발표 및 커뮤니케이션 능력을 보유하신 분
? 독립적이고 능동적인 업무 능력 및 입증된 성과를 보유하신 분
? 빠르게 변화하는 환경 내에서의 업무 능력을 보유하시 분
? CISSP/CISA 등 정보보안 관련 자격증을 보유하신 분
채용절차
전형 절차 :
- 서류전형 - 전화면접 - 대면면접 - 최종 합격
- 전형 절차는 직무별로 다르게 운영될 수 있으며, 일정 및 상황에 따라 변동될 수 있습니다.
- 전형 일정 및 결과는 지원서에 등록하신 이메일로 개별 안내드립니다.

참고 사항 :
- 본 공고는 모집 완료 시 조기 마감될 수 있습니다.
- 지원서 내용 중 허위사실이 있는 경우에는 합격이 취소될 수 있습니다.
- 보훈대상자 및 장애인 여부는 채용 과정에서 어떠한 불이익도 미치지 않습니다.
복리후생
복지는 홈페이지를 참고해주세요.
(https://rocketyourcareer.kr.coupang.com/why-us)
기타
개인정보 처리방침 :
- 쿠팡 그룹은 입사지원자 개인정보 처리방침(아래 링크)에 따라 귀하의 개인정보를 수집하여 처리합니다. https://rocketyourcareer.kr.coupang.com/privacy-policy

서류 반환 정책 :
- 본 고지는 『채용절차의 공정화에 관한 법률』 제11조 제6항에 따른 것입니다.
- 당사 채용에 응시한 구직자 중 최종 합격이 되지 못한 구직자는 『채용절차의 공정화에 관한 법률』에 따라 제출한 채용서류의 반환을 청구할 수 있음을 알려 드립니다. 다만, 홈페이지 또는 전자우편으로 제출된 경우나 구직자가 당사의 요구 없이 자발적으로 제출한 경우에는 그러하지 아니하며, 천재지변이나 그 밖에 당사에게 책임 없는 사유로 채용서류가 멸실된 경우에는 반환한 것으로 봅니다.
- 위 2항 본문에 따라 채용서류 반환 청구를 하는 구직자는 채용서류 반환청구서 [채용절차의 공정화에 관한 법률 시행규칙 별지 제3호 서식]를 작성하여 당사 이메일(recruitingops@coupang.com)로 제출하면, 제출이 확인된 날로부터 14일 이내에 지정한 주소지로 등기우편을 통하여 발송해 드립니다. 이 경우 등기우편요금은 수신자 부담으로 하게 되오니 유념하시기 바랍니다.
- 당사는 위 2항 본문에 따른 구직자의 반환 청구에 대비하여 채용 여부가 확정된 날로부터 180일간 구직자가 제출한 채용서류 원본을 보관하게 되며, 그때까지 채용서류의 반환을 청구하지 아니할 경우에는 『개인정보 보호법』에 따라 지체 없이 채용서류 일체를 파기할 예정입니다."
리디(주),[리디 주식회사] BL 소설 MD,"기업소개
[RIDI 기업소개]

“Rich Imagination & Deep Insight”

리디 주식회사는 2009년 리디북스로 서비스를 시작하여, 전자책, 웹툰·웹소설, 애니메이션, 아티클·뉴스 등 다양한 온라인 콘텐츠 서비스를 제공하는 ‘커넥티드 콘텐츠 기업’으로, 콘텐츠 경험의 연결을 만듭니다.

-기업소개 페이지 :https://www.ridicorp.com
-개발 블로그 : https://www.ridicorp.com/blog

[RIDI CODE]

1. 의사결정
1.1 가장 먼저 그리고 마지막엔 고객 관점에서 바라본다
1.2 장기적인 관점으로 생각한다
1.3 개인이나 팀의 목표보다 전사의 목표를 우선시한다
1.4 가장 잘 아는 사람이 결정하고 책임은 조직장이 진다
1.5 데이터와 직관을 동시에 활용한다

2. 소통
2.1 의도와 맥락을 중심으로 이야기한다
2.2 표준화된 용어, 정확한 숫자, 통일된 날짜 표기법을 사용한다
2.3 찜찜한 상황에선 먼저 이야기를 꺼낸다
2.4 불편함을 감수하더라도 솔직하게 이야기 한다
2.5 소통 상대에게 존중하는 자세를 유지한다

3. 업무자세
3.1 의도를 명확히 정하고 일을 한다
3.2 도전적인 목표를 설정한다
3.3 탁월함을 위해 집요하게 파고든다
3.4 결정된 사항은 빠르게 실행한다
3.5 체력을 적극적으로 관리한다

[RIDI PRODUCTS]

-리디북스 (ridibooks.com)
: 국내 최초 및 전자책 서점 1위 서비스로, 폭넓은 분야의 풍성한 콘텐츠를 제공합니다.
-리디셀렉트 (select.ridibooks.com)
: 화제의 베스트셀러 및 엄선된 아티클을 무제한 감상할 수 있는 월정액 지식 콘텐츠 서비스입니다.
-리디페이퍼 (paper.ridibooks.com)
: 리디에서 직접 개발한 최적의 휴대성과 독서 경험을 제공하는 전자책 단말기입니다.
-라프텔 (laftel.net)
: 애니메이션의 합법적 소비를 선도하는 국내 최대 애니메이션 스트리밍 서비스입니다.
-만타 (manta.net)
: 북미 지역에서 시작해 전 세계로! 취향에 맞는 K-웹툰을 무제한으로 즐길 수 있는 글로벌 웹툰 구독 서비스입니다.
-아웃스탠딩 (outstanding.kr)
: 심도 있는 분석을 쉽고 재미있게 풀어 쓴 IT 전문 뉴스 서비스입니다.
주요업무
[웹소설그룹]
리디북스의 웹소설그룹은 로맨스, BL, 판타지 등 다양한 소설을 독자에게 서비스하는 팀으로 모인 그룹입니다. 웹소설 트렌드를 데이터로 분석하고 이해하며, 독자가 원하는 작품을 파트너와 함께 발굴해 나갑니다.
웹소설그룹 내 TF를 통해서 활발한 협업을 권장하고 있으며, 그룹 내 스터디 지원으로 담당 팀의 카테고리 외에도 웹소설시장 전반을 이해하며 성장해 나갈 수 있습니다.

[BL소설팀]
BL소설 시장 점유율 1위, 웹소설그룹 BL소설팀은 매년 폭발적인 성장을 거듭하고 있습니다. 각자의 전문 분야에서 파트너와 함께 새로운 BL소설을 가장 먼저 선보이고, 새로운 전략을 구성하여 BL소설 시장을 선도해 나갑니다.

[직무소개]
BL소설 MD는 작품에 대한 깊은 이해를 바탕으로 고객의 움직임을 직관과 감각으로 분석합니다. 데이터 분석을 통한 프로모션 전략을 수립하고, 다양한 이해관계를 가진 파트너와 협상하고 함께 성장해나갑니다.

- 플랫폼 빅데이터 분석 및 이해
- BL소설 콘텐츠 검토 및 전략 수립
- 파트너사와의 협업 및 협상
- 프로모션 기획 및 운영
자격요건
- 콘텐츠 플랫폼 또는 BL소설 유관업계 경험 2년 이상
- IP산업 전반에 대한 관심과 이해도
- 다양한 이해관계자와의 커뮤니케이션 경험 보유
- IT/커머스/콘텐츠 전반에 대한 풍부한 인사이트
- MS 오피스 사용 숙련자
우대사항
- 콘텐츠 플랫폼에 대한 높은 이해도
- 웹소설 업계 네트워크 보유
- BL소설 열혈 독자
채용절차
제출서류 : 이력서, 경력기술서, 사전과제 (양식 : https://bit.ly/37s38OB)

*채용절차 : 서류전형 > 면접전형
(이 외, 약 15 - 30분간 유선 또는 화상으로 리크루터 사전면접이 추가될 수 있습니다.)

※ 위 포지션에 좋은 인재를 추천해주세요!
사외 추천 바로가기: https://bit.ly/3pLyZkB
사내 추천 바로가기: https://forms.gle/1qwcMbm85YKmk3wL8
복리후생
리더스가 일에만 집중할 수 있도록, 또 더 잘 일할 수 있도록 최선의 환경을 지원합니다.

■ 일에 온전히 집중할 수 있도록 안정적인 환경을 지원합니다.
? 안정적인 주거생활을 위한 주택자금(최대 1억) 대출이자지원
? 업무 / 야근 시 택시비 지원

■ 업무 외의 문제로 일을 방해받지 않습니다.
? 최고 사양의 업무 장비 및 유료 소프트웨어 사용 지원
? 수평적인 호칭 체계(님 호칭) 및 자율 복장
? 선릉역 1분 거리의 뛰어난 접근성

■ 함께 일할 때 시너지가 날 수 있는 인재 추천을 적극 지원합니다.
? 추천 시 피추천인 1인 당 스타벅스 상품권(카드) 30,000원 지급
? 추천 인재 입사시 최대 500만원 채용 인센티브
? 추천 인재와의 식사 비용 지원

■ 개인의 꾸준한 배움과 성장이 리디의 성장으로 이어집니다.
? 리디 서비스 사용료 일부 지원(리디북스 / 리디셀렉트 / 아웃스탠딩 / 라프텔 / 리디페이퍼)
? 자기계발 지원비(사외수강 / AWS 학습비 등)

■ 건강한 몸과 마음이 건강한 서비스를 만듭니다.
? 매일 색다른 샐러드 조식 및 제철 손질 과일 제공
? 건강을 위한 운동비 지원
? 사고나 질병에 대비한 단체 상해 보험 제공
? 오메가3/루테인 등 각종 영양제, 고급 견과류 상시 제공
? 불필요한 설탕 섭취 없는 캡슐커피, 탄산수, 각종 차 제공
? 질병에 대한 예방 접종과 치아 건강을 위한 스케일링 지원(연 1회)

■ 리더스의 든든한 지원군인 가족을 리디가 지원합니다.
? 리디 서비스 사용료 일부 지원(리디북스 / 리디셀렉트 / 아웃스탠딩 / 라프텔 / 리디페이퍼)
? 근속 3년마다 리프레쉬 휴가(2주) 및 5성급 호텔 숙박권 제공
? 경조사 발생 시 경조사비 및 경조휴가, 화환 / 과일바구니 / 상조용품 지원
? 명절 선물로 상품권 지급
기타
* 지원 시 유의 사항
- 이름, E-mail, 연락 가능한 연락처는 필수로 기재해주세요.
- HWP, Word 파일은 업로드가 원활하지 않습니다. 이력서/자기소개서 등 첨부서류는 PDF 파일로의 업로드를 권장 합니다."
(주)스마일게이트홀딩스,[인사] 노무 운영 담당,"기업소개
스마일게이트는 전세계 동시 접속자 수 800만 명 이상을 자랑하는 크로스파이어를 개발한 글로벌 게임회사입니다. 중국과 베트남, 북남미, 유럽 등 전세계 80개 국에서 크로스파이어를 서비스하고 있습니다.

스마일게이트는 크로스파이어를 통해 배운 축적된 게임 개발 역량과 서비스 노하우를 기반으로 FPS, MMORPG, 대전액션을 아우르는 다양한 장르의 온라인게임을 개발하고 있습니다.

스마일게이트는 식지 않는 열정과 끈기, 노력을 통해 쉬지 않고 도전하고 있습니다. 더 많은 유저와 즐거움을 나누기 위한 게임 및 문화 콘텐츠를 제공하기 위해 비즈니스 파트너와 함께 성장해 나가겠습니다.
주요업무
- 현장 노무 점검 및 지원
- 취업규칙 등 제도정비
- 노무역량 교육 실무
자격요건
자격요건
- 중소기업 이상 법인 노무관리 경력 보유 (300인이상 대기업 or 게임/IT 업계 선호)
- 인사/노무 6년이상 경험자

필요역량
- 노동관계법 이해에 기초한 직무 전문성
- 집단적 노사관계 바탕 의사소통능력
- 논리적 사고기반의 기획력과 문제해결능력
우대사항
- 게임업계/IT업계 경험보유자
- 공인노무사
- 노동법 대학원 수료자
채용절차
- 서류접수 > 서류심사 > 실무면접 > 임원면접 > 입사협의
복리후생
스마일게이트는 구성원을 위한 다양한 복지 서비스 및 근로환경을 제공하고 있습니다. :)

- 유연근무제도
- 선택적 복리후생비 지급
- 출근 셔틀버스 운영
- 의료실비 보험 / 종합건강검진 지원
- 생활자금대출 / 경조사 지원
- 사내 동호회 활동 지원
- 개발자 컨퍼런스 / 사내 교육 및 특강
- 게임공간 라운지
- 사내 도서관
- 운동 공간 (헬스, 골프, 탁구)
- 샤워시설, 휴게라운지, 힐링룸
- 장기근속 포상 / 휴양시설 지원
- 카페테리아 / 사내 식당
- 사내 어린이집
- 부서 워크숍 지원
- 명절 선물 지급
기타
- 홈페이지 입사지원서 제출"
넥스트플로어(주),평가/보상 담당자 모집,"주요업무
- 평가/보상 제도 기획 및 운영
- 평가 프로세스 고도화
- 평가/보상 시스템 관리 및 개선
- 인센티브 스킴 및 연봉인상안 설계
자격요건
- 평가/보상 업무 경력 5년 이상이신 분
- 평소 수평적 조직에서의 성과중심 평가/보상에 관심이 있으신 분
- IT업계와 HR 분야에 대한 이해도가 있으신 분
- 대/내외적으로 원활한 커뮤니케이션이 가능하신 분
우대사항
- 게임업계 HR 경력자
- 외국어(영어) 사용이 가능하신 분
- 꼼꼼하고 신속하게 업무를 운영하실 수 있는 분
채용절차
- 입사지원 및 서류전형 > 1,2차 인터뷰 > 최종합격
기타
* 기타사항
- 본 채용공고는 채용여부에 따라 조기마감 또는 연장될 수 있습니다.
- 채용절차 외에도 직무별 필요에 따라 추가 인터뷰, 과제 등 별도의 전형이 포함될 수 있습니다."
